clean_title,title_length,tweet_count,exclaim_count,question_count,has_url,actual_label,predicted_label,fake_score,correct
grey s anatomy changed its midseason premiere episode title to highlight domestic abuse,13,1,0,0,1,0,0,0.039236047117570685,True
anne wojcicki biography facts 23andme,5,1,0,0,1,0,0,0.38182169208548367,True
wags atlanta,2,14,0,0,1,0,0,0.1300548831402387,True
mary kate olsen gives a rare interview about married life,10,45,0,0,1,0,0,0.23292052406426023,True
vanderpump rules reunion katie apologizes to lala,7,19,0,0,1,0,0,0.12531740889355655,True
selena gomez offers up first audio taste of fetish listen,10,32,0,0,1,0,1,0.5624452666657499,False
serena williams reveals why her father didn t walk her down the aisle,13,60,0,0,1,0,0,0.3744750240817065,True
rosie huntington whiteley and jason statham are engaged model debuts giant diamond ring at the 2016 golden globes,18,0,1,0,1,1,0,0.3802041594779166,False
here are all the public figures who ve been accused of sexual misconduct after harvey weinstein,16,69,0,0,1,0,0,0.16253166484633277,True
rob pattinson still cares deeply for kristen stewart getting back together after party reunion,14,9,0,1,1,1,1,0.9447942650578767,True
how to watch the 2018 golden globes online tonight,9,25,0,0,1,0,0,0.1191930410462673,True
rob lowe my sex tape scandal was the greatest thing that happened to me,14,20,0,0,1,0,0,0.3596757313524817,True
cheryl burke and matthew lawrence enjoy caribbean getaway,8,58,0,0,1,0,0,0.2840135912029258,True
george clooney s lake como neighbours say it is being ruined by migrants,13,4,0,0,1,1,1,0.6473199563351687,True
the forever 21 x taco bell collection,7,44,0,0,1,0,0,0.12695606045918228,True
gwen stefani shuts down rumours she was dumped by blake shelton over jealousy and drama with loved up snap,19,292,0,0,1,1,1,0.9446705838787808,True
khlo kardashian wants to raise baby true alone without tristan thompson exclusive,12,1,0,0,1,1,1,0.8378101431139297,True
jennifer lawrence blasts harvey weinstein s legal tactics,8,30,0,0,1,0,1,0.5213468220417564,False
jennifer lopez is questioning her future with a rod after cheating allegations exclusive,13,5,0,0,1,1,1,0.8600058406709626,True
mary kate olsen bonds with boyfriend olivier sarkozy s young daughter during shopping trip,14,2,0,0,1,0,0,0.11914702969829277,True
johnny depp was accused of showing up drunk to his latest red carpet premiere,14,86,0,0,1,0,0,0.2627721390009009,True
josh hartnett and tamsin egerton reportedly welcome baby no 2,10,44,0,0,1,0,0,0.3582079539937014,True
this is why taraji p henson s hair always looks so good,12,36,0,0,1,0,0,0.07925999651798027,True
how technology disrupted the truth katharine viner,7,43,0,0,1,0,0,0.4014223981572127,True
pregnant and still thin,4,240,0,0,1,1,1,0.6380508831486712,True
impact of senator obama s tax proposals as described by economic advisors on workers distribution of federal tax change by cash income percentile 2009,24,0,0,0,1,0,0,0.2328628415193901,True
how katie holmes got into the best shape of her life,11,25,0,0,1,0,1,0.6514603083043379,False
outlook office skype bing breaking news and latest videos,9,2338,0,0,1,0,1,0.5765943609598438,False
ryan gosling says he quit smokin after filming the nice guys,11,44,0,0,1,1,1,0.6218419049258903,True
a guide to the increasingly intense brad pitt angelina jolie divorce drama,12,3,0,0,1,1,1,0.8710169765854338,True
gwen stefani reveals the hilarious christmas gift she s getting blake shelton,12,1,0,0,1,0,1,0.8702227330241833,False
a cringeworthy clip of brett ratner and serena williams is making the rounds online following sexual misconduct allegations against him,20,39,0,0,1,0,0,0.10717166250340147,True
amy schumer can feel free to be in a relationship just for herself next time after her breakup with ben hanisch,21,40,0,0,1,0,0,0.3072138099811689,True
two more sexual misconduct allegations against stunt coordinator joel kramer include one involving 10th grade girl,16,79,0,0,1,0,0,0.11493981086331034,True
jude law makes debut as dumbledore in fantastic beasts the crimes of grindelwald first trailer,15,53,0,0,1,0,0,0.09324395341472448,True
denzel washington criminal in chief obama tore heart out of america,11,1,0,0,1,1,1,0.5439712607993383,True
3 tips for acing girl next door makeup for a super bowl party,13,0,0,0,1,0,0,0.1223413236097324,True
gwyneth paltrow shows off bikini body with fiance brad falchuk in italy,12,55,0,0,1,0,1,0.5259590299347943,False
kourtney kardashian s boyfriend younes trolls himself on instagram after leaving shady comment,13,13,0,0,1,0,1,0.7322986767224399,False
